"Month","Type","Number","Title","Type2","URL"
1985-03-31,"Law","Ley 15736","DECLARACION INVESTIDAS LAS AUTORIDADES LEGALES DE LA UNIVERSIDAD DE LA REPUBLICA Y SE DICTAN NORMAS SOBRE SU FUNCIONAMIENTO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15736-1985"
1985-04-30,"Law","Ley 15741","SUSPENSION DE REMATES JUDICIALES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15741-1985"
1985-04-30,"Law","Ley 15740","ADMINISTRACION DE LOS ENTES AUTONOMOS Y SERVICIOS DESCENTRALIZADOS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15740-1985"
1985-05-31,"Law","Ley 15745","PRORROGA DE PLAZO PARA LA SUSPENSION DE LAS EJECUCIONES A PRODUCTORES AGROPECUARIOS, INDUSTRIALES O COMERCIANTES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15745-1985"
1985-05-31,"Law","Ley 15744","PRORROGA DE PLAZO PARA LA FORMACION, CONSTITUCION Y FUNCIONAMIENTO DE LAS COOPERATIVAS AGRARIAS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15744-1985"
1985-05-31,"Law","Ley 15743","APROBACION POR UNICA VEZ DE UN REGIMEN EXCEPCIONAL DE LIBERTAD ANTICIPADA Y LIBERTAD PROVISIONAL","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15743-1985"
1985-05-31,"Law","Ley 15742","DENOMINACION DE RUTAS NACIONALES. RUTAS 27 y 28","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15742-1985"
1985-06-30,"Law","Ley 15753","PLAN DE PROMOCION GRANJERA - INDEMNIZACION A LOS PRODUCTORES AFECTADOS 
POR FENOMENOS CLIMATICOS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15753-1985"
1985-06-30,"Law","Ley 15752","SUPRESION DE PLAZOS PROCESALES Y REGISTRALES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15752-1985"
1985-06-30,"Law","Ley 15751","SUPRESION DEL MINISTERIO DE JUSTICIA","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15751-1985"
1985-06-30,"Law","Ley 15750","LEY ORGANICA DE LA JUDICATURA Y DE ORGANIZACION DE LOS TRIBUNALES (LOT)","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15750-1985"
1985-06-30,"Law","Ley 15749","MODIFICACION A LA LEY ORGANICA POLICIAL","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15749-1985"
1985-06-30,"Law","Ley 15748","FUNCIONARIOS PUBLICOS - MODIFICACION A LA LEY DE CREACION DE PRIMA POR HOGAR CONSTITUIDO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15748-1985"
1985-06-30,"Law","Ley 15747","FIJACION DEL LIMITE DE EDAD PARA OCUPAR CARGOS DE EMBAJADOR O MINISTERIO
DEL SERVICIO EXTERIOR","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15747-1985"
1985-06-30,"Law","Ley 15746","MODIFICACION A LA LEY DE EMERGENCIA PARA LA ENSEÑANZA PUBLICA.  ANEP","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15746-1985"
1985-07-31,"Law","Ley 15759","REMATES JUDICIALES - SUBASTAS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15759-1985"
1985-07-31,"Law","Ley 15758","DEROGACION DE LEYES FUNDAMENTALES NROS. 2 Y 4 - LEY ORGANICA DE LOS PARTIDOS POLITICOS - ELECCIONES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15758-1985"
1985-07-31,"Law","Ley 15757","LEY DE CREACION DE LA OFICINA NACIONAL DEL SERVICIO CIVIL","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15757-1985"
1985-07-31,"Law","Ley 15756","PRORROGA DE VIGENCIA DEL DECRETO-LEY 15.514, LEY DE REGISTROS PUBLICOS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15756-1985"
1985-07-31,"Law","Ley 15755","PERMUTA DE BIEN INMUEBLE. TACUAREMBO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15755-1985"
1985-07-31,"Law","Ley 15754","ELECCIONES UNIVERSITARIAS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15754-1985"
1985-08-31,"Law","..","..","..",".."
1985-09-30,"Law","Ley 15774","APROBACION DE LA ADHESION DE LA REPUBLICA AL CONVENIO PARA EL ESTABLECIMIENTO DE LA UNIVERSIDAD PARA LA PAZ Y LA CARTA DE LA UNIVERSIDAD PARA LA PAZ","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15774-1985"
1985-09-30,"Law","Ley 15773","AMPLIACION DE LA AUTORIZACION PARA LA EMISION CIRCULANTE EN MONEDA EXTRANJERA PARA FINANCIAR EL FONDO NACIONAL DE INVERSIONES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15773-1985"
1985-09-30,"Law","Ley 15772","DENOMINACION DE ESCUELA PUBLICA N° 226. MONTEVIDEO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15772-1985"
1985-09-30,"Law","Ley 15771","PRORROGA DE PLAZO PARA LA SUSPENSION DE LAS EJECUCIONES A PRODUCTORES AGROPECUARIOS, INDUSTRIALES Y COMERCIALES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15771-1985"
1985-09-30,"Law","Ley 15770","COMPETENCIAS DE JUZGADOS LETRADOS DE PRIMERA INSTANCIA EN LO CIVIL - LOT","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15770-1985"
1985-09-30,"Law","Ley 15769","DENOMINACION DE REPRESA HIDROELECTRICA. RIO NEGRO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15769-1985"
1985-09-30,"Law","Ley 15768","MODIFICACION DEL TEXTO ORDENADO DGI, RELATIVO AL IMPUESTO AL PATRIMONIO E IMPUESTO A LAS RENTAS AGROPECUARIAS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15768-1985"
1985-09-30,"Law","Ley 15767","RENDICION DE CUENTAS Y BALANCE DE EJECUCION PRESUPUESTAL - EJERCICIO 1984","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15767-1985"
1985-09-30,"Law","Ley 15766","APROBACION DE LA ADHESION DE LA REPUBLICA AL CENTRO REGIONAL PARA EL FOMENTO DEL LIBRO EN AMERICA LATINA Y EL CARIBE (CERLALC)
ACUERDO DE COOPERACION INTERNACIONAL ENTRE COLOMBIA Y LA ONU PARA LA EDUCACION, LA CIENCIA Y LA CULTURA (UNESCO)","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15766-1985"
1985-09-30,"Law","Ley 15765","APROBACION DEL CONTRATO DE PRESTAMO N° UR-3/84 SUSCRITO ENTRE URUGUAY Y EL FONPLATA","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15765-1985"
